chem_diff,goal_diff,team_1,team_2,date
31607.64690527891,1,459,627,2018-07-02
31639.999712065037,1,202,657,2014-06-25
37125.64466481464,1,448,209,2006-06-25
37330.4010072526,1,162,628,2006-06-26
45221.37658432158,1,449,468,2010-06-28
61486.52541398156,1,164,469,2018-06-20
70514.15576826058,1,481,202,2014-07-13
7349.28785177922,1,479,656,2010-06-19
77129.6849148697,1,481,660,2014-06-26
79392.69893976525,1,164,207,2010-06-25
19608.00173477303,1,660,4469,2014-06-16
6685.759353014368,1,205,477,2006-06-13
10346.560031073412,1,207,215,2010-06-16
4909.629127578581,1,208,654,2018-06-28
6487.040838805966,1,481,466,2018-06-23
-55326.23673052909,1,214,162,2014-06-20
-47017.85699616809,1,6757,481,2010-06-18
-25929.94553805965,1,477,470,2018-06-26
-22115.701439891207,1,203,481,2018-06-17
-15943.38263852166,1,654,471,2018-06-19
-14589.523174632297,1,6757,214,2018-06-17
-14186.286755587102,1,449,203,2014-06-29
-13539.630803839202,1,4469,660,2010-06-26
-11428.160580400152,1,212,482,2018-06-30
-11362.001139387505,1,4469,660,2006-06-22
-10005.574560146102,1,478,211,2018-06-21
-8542.977976927512,1,479,211,2018-06-16
-13352.812644014462,1,459,660,2014-07-01
-6463.342128589501,1,627,656,2010-06-14
2514.3597253372063,1,482,203,2006-06-21
-8477.081902399095,1,655,2620,2018-06-25
1368.5439954888861,1,202,459,2014-07-05
812.2542618148109,1,457,659,2006-06-23
66.62845869832381,1,471,627,2018-06-28
-231.95784057306446,1,469,2869,2018-06-15
1438.1769362820814,1,208,4789,2014-06-19
-2791.8074041276886,1,209,215,2014-06-20
-2816.8246380778146,1,628,6757,2010-06-23
-3786.5670074379123,1,459,451,2014-06-26
-5810.263667653111,1,657,452,2014-06-21
-961.5231294804134,1,4469,6757,2010-06-13
12961.32357913821,2,477,657,2018-06-16
61649.83098341571,2,164,215,2010-06-21
47529.371025028115,2,448,2627,2006-06-15
43021.85858600782,2,162,450,2006-06-22
30301.979369106284,2,482,469,2006-06-17
29953.410604650915,2,481,214,2006-06-09
23180.548398138657,2,162,481,2006-07-04
21726.98100706205,2,459,448,2018-07-14
15848.343550891437,2,164,659,2006-06-19
9564.937828539638,2,205,4789,2010-06-20
-19490.73696416617,2,657,470,2018-06-22
5091.9167910028245,2,452,469,2014-06-25
