weight_chem_diff,goal_diff,team_1,team_2,date,rank_diff
0.6716048321,1,449,468,2010-06-28,454
0.3804276927,1,164,655,2006-06-23,105
0.09932969484,1,205,477,2006-06-13,141
0.1628781716,1,202,475,2014-07-01,26
0.07074575986,1,481,466,2018-06-23,678
0.08541657496,1,449,205,2010-07-02,-380
-0.7363856584,1,6757,481,2010-06-18,-135
-0.558019711,1,214,162,2014-06-20,-342
-0.4590111019,1,477,470,2018-06-26,37
-0.4260554834,1,627,656,2010-06-14,-205
-0.3964396455,1,4469,660,2006-06-22,-156
-0.3441916233,1,654,471,2018-06-19,-345
-0.2564524022,1,4469,660,2010-06-26,-157
-0.2369360818,1,203,481,2018-06-17,-569
-0.1920805843,1,449,203,2014-06-29,99
-0.1655124652,1,459,660,2014-07-01,39
-0.1498985028,1,628,6757,2010-06-23,-61
-0.140679975,1,655,2620,2018-06-25,-184
-0.2272845,1,6757,214,2018-06-17,-133
-0.1263595979,1,478,211,2018-06-21,73
0.06234519797,1,482,203,2006-06-21,-8
-0.1351797044,1,212,482,2018-06-30,-256
0.01886790105,1,457,659,2006-06-23,-84
0.017211192,1,202,459,2014-07-05,101
0.001657778231,1,471,627,2018-06-28,662
-0.004810683583,1,469,2869,2018-06-15,22
0.02911903698,1,208,4789,2014-06-19,328
-0.06262176739,1,4469,6757,2010-06-13,-147
-0.1039946782,1,459,451,2014-06-26,527
-0.110265666,1,479,211,2018-06-16,-74
-0.1231509516,1,657,452,2014-06-21,-233
-0.04271303976,1,209,215,2014-06-20,60
0.2110145445,2,459,448,2018-07-14,247
0.8116775089,2,481,214,2006-06-09,13
0.692175045,2,164,215,2010-06-21,831
0.6246466291,2,482,469,2006-06-17,64
0.5903343001,2,448,2627,2006-06-15,137
0.4147548142,2,162,450,2006-06-22,-44
0.3176941886,2,164,659,2006-06-19,63
0.2512361552,2,477,657,2018-06-16,327
0.2154617127,2,162,481,2006-07-04,32
0.1760497578,2,202,203,2010-06-27,181
-0.4199961006,2,214,212,2014-06-14,-385
0.1110754037,2,205,4789,2010-06-20,755
0.04340598818,2,478,164,2006-06-27,-7
0.01493397091,2,481,482,2006-07-08,-54
-0.03044945575,2,449,207,2014-06-23,-45
-0.2828946396,2,202,455,2010-06-22,112
-0.3513658694,2,657,470,2018-06-22,-290
-0.3792779012,2,624,451,2014-06-22,311
-0.5059505531,2,209,471,2006-06-09,-46
-0.593292672,2,203,478,2010-06-17,-149
0.1452500035,2,452,469,2014-06-25,232
0.6053841841,3,205,656,2014-06-23,684
0.5180523694,3,164,628,2014-06-23,959
0.5110914055,3,205,4469,2006-06-27,227
0.3404829226,3,459,2659,2018-06-18,727
0.253704823,3,205,627,2006-06-22,122
-0.02393524138,3,212,454,2018-06-25,561
0.04885056643,3,208,471,2018-06-24,-197
-0.02123057268,3,478,215,2014-06-15,182
-0.1941167673,3,208,455,2014-06-14,73
0.199896268,3,202,451,2010-06-17,444
0.3857410304,4,477,656,2014-06-18,345
0.09996386592,4,457,655,2006-06-19,-42
-0.01228090964,5,448,2659,2018-06-24,480
